[ INFO ]2020-08-23 00:03:43.043 method: com.api.cases.BaseCase.init(BaseCase.java:29)-----  ===============================init======================================
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":0,"msg":"OK","data":{"id":2105267,"leave_amount":4000.0,"mobile_phone":"13322222222","reg_name":"小柠檬","reg_time":"2020-08-22 23:47:00.0","type":0,"token_info":{"token_type":"Bearer","expires_in":"2020-08-23 00:14:59","token":"eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjIxMDUyNjcsImV4cCI6MTU5ODExMjg5OX0.nfWJyDv4VBkn0tFplDeu3W-aeYK7CFNRSMQQ7V1Kkd0xfZyFjtpLhqT_jFJZY5pEBEaEO0yzgUWRNowg_J_MpQ"}},"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:09:59 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1007,"msg":"无权限访问，请检查参数","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:09:59 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须大于0并且小于或者等于500000","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:09:59 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须大于0并且小于或者等于500000","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:09:59 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须为数值型","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:09:59.059 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:10:00.000 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:10:00 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:10:00.000 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:10:00.000 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":0,"msg":"OK","data":{"id":2105267,"leave_amount":5000.0,"mobile_phone":"13322222222","reg_name":"小柠檬","reg_time":"2020-08-22 23:47:00.0","type":0},"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:10:00.000 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:12:38.038 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:11:26 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:12:38.038 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:12:38.038 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1004,"msg":"JSON parse error: Unexpected character ('ï' (code 239)): was expecting comma to separate Object entries; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('ï' (code 239)): was expecting comma to separate Object entries\n at [Source: (PushbackInputStream); line: 1, column: 66]","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:12:38.038 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:12:55 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1004,"msg":"JSON parse error: Unrecognized token '$': was expecting ('true', 'false' or 'null'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unrecognized token '$': was expecting ('true', 'false' or 'null')\n at [Source: (PushbackInputStream); line: 1, column: 14]","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:12:56 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1004,"msg":"JSON parse error: Unrecognized token '$': was expecting ('true', 'false' or 'null'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unrecognized token '$': was expecting ('true', 'false' or 'null')\n at [Source: (PushbackInputStream); line: 1, column: 36]","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:12:55.055 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:12:55.055 method: com.api.cases.BaseCase.finish(BaseCase.java:50)-----  ===============================finish======================================
[ INFO ]2020-08-23 00:15:11.011 method: com.api.cases.BaseCase.init(BaseCase.java:29)-----  ===============================init======================================
[ INFO ]2020-08-23 00:15:11.011 method: com.api.cases.BaseCase.init(BaseCase.java:45)-----  AuthenticationUtils.VARS======================{${amount}=1000, ${register_mb}=13322222222, ${register_pwd}=12345678, ${url}=api.lemonban.com}
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:13 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:13 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"手机号为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:13 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:13 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"密码格式为8到16位","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:12.012 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:13.013 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:14 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:13.013 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:13.013 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"账号已存在","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:13.013 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:14 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"账号已存在","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:14 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:14 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"手机号码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:14 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1001,"msg":"账号信息错误","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":0,"msg":"OK","data":{"id":2105267,"leave_amount":5000.0,"mobile_phone":"13322222222","reg_name":"小柠檬","reg_time":"2020-08-22 23:47:00.0","type":0,"token_info":{"token_type":"Bearer","expires_in":"2020-08-23 00:20:15","token":"eyJhbGciOiJIUzUxMiJ9.eyJtZW1iZXJfaWQiOjIxMDUyNjcsImV4cCI6MTU5ODExMzIxNX0.riI8wegap1FdVLddFzFGoTdV8T8rSbfO5Sc2-LIrPsEsGz3FhZl_7-dmrP92p60pKGNltPHesRGfQfhRuxqFjA"}},"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:14.014 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1007,"msg":"无权限访问，请检查参数","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须大于0并且小于或者等于500000","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须大于0并且小于或者等于500000","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:15 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"余额必须为数值型","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:15:16 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":0,"msg":"OK","data":{"id":2105267,"leave_amount":6000.0,"mobile_phone":"13322222222","reg_name":"小柠檬","reg_time":"2020-08-22 23:47:00.0","type":0},"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:15:15.015 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:16:55.055 method: com.api.cases.BaseCase.init(BaseCase.java:29)-----  ===============================init======================================
[ INFO ]2020-08-23 00:16:55.055 method: com.api.cases.BaseCase.init(BaseCase.java:45)-----  AuthenticationUtils.VARS======================{${amount}=1000, ${register_mb}=13322222222, ${register_pwd}=12345678, ${url}=api.lemonban.com}
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:16:56 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:16:57 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"手机号为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:16:57 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":1,"msg":"密码为空","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:16:57 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"密码格式为8到16位","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:16:56.056 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
[ INFO ]2020-08-23 00:16:57.057 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:201)-----  headers :[Server: nginx/1.4.2, Date: Sat, 22 Aug 2020 16:16:58 GMT, Content-Type: application/json;charset=UTF-8, Transfer-Encoding: chunked, Connection: keep-alive]
[ INFO ]2020-08-23 00:16:57.057 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:205)-----  content-Type :[Content-Type: application/json;charset=UTF-8]
[ INFO ]2020-08-23 00:16:57.057 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:210)-----  body :{"code":2,"msg":"账号已存在","data":null,"copyright":"Copyright 柠檬班 © 2017-2020 湖南省零檬信息技术有限公司 All Rights Reserved"}
[ INFO ]2020-08-23 00:16:57.057 method: com.api.utils.HttpUtils.printResponse(HttpUtils.java:213)-----  status :200
